Book Names,Book Type
Abigail & The Fish Tree,IEEE USA Books & eBooks
Accelerated Stress Testing Handbook: Guide for Achieving Quality Products,Wiley-IEEE Press
Accelerated Testing: A Practitioner's Guide to Accelerated and Reliability Testing,SAE
Acceleration Methods,Now Foundations and Trends
Acceleration of Biomedical Image Processing with Dataflow on FPGAs,River Publishers
Access Control for Databases: Concepts and Systems,Now Foundations and Trends
Access Denied: The Practice and Policy of Global Internet Filtering,MIT Press
Accessing and Browsing Information and Communication,MIT Press
Accountability in Computing: Concepts and Mechanisms,Now Foundations and Trends
Achieving Ecological Resilience through Regime Shift Management,Now Foundations and Trends
Achieving Interoperability in Critical IT and Communication Systems,Artech
Achieving Software Quality through Teamwork,Artech
"Acoustic Array Systems: Theory, Implementation, and Application",Wiley-IEEE Press
Acoustic Echo and Noise Control: A Practical Approach,Wiley-IEEE Press
Acoustic Wave and Electromechanical Resonators: Concept to Key Applications,Artech
Acoustical Materials: Solving the Challenge of Vehicle Noise,SAE
Acting with Technology: Activity Theory and Interaction Design,MIT Press
Action-minimizing Methods in Hamiltonian Dynamics (MN-50): An Introduction to Aubry-Mather Theory,Princeton University Press
"Actionable Strategies Through Integrated Performance, Process, Project, and Risk Management",Artech
Active Antennas and Quasi-Optical Arrays,Wiley-IEEE Press
Active Electronically Scanned Arrays: Fundamentals and Applications,Wiley-IEEE Press
Active Filters for Integrated-Circuit Applications,Artech
Active Safety and the Mobility Industry,SAE
Active Solar Systems,MIT Press
Activity-Based Intelligence: Principles and Applications,Artech
Activity-Centered Design: An Ecological Approach to Designing Smart Tools and Usable Systems,MIT Press
Actors: A Model of Concurrent Computation in Distributed Systems,MIT Press
Actual Causality,MIT Press
Ada: A Life And A Legacy,MIT Press
Adaptation and Natural Selection: A Critique of Some Current Evolutionary Thought,Princeton University Press
"Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence",MIT Press
"Adaptation, Learning, and Optimization over Networks",Now Foundations and Trends
Adaptive Antennas and Phased Arrays for Radar and Communications,Artech
Adaptive Antennas for Wireless Communications,Wiley-IEEE Press
Adaptive Control Design and Analysis,Wiley-IEEE Press
Adaptive Cooling of Integrated Circuits Using Digital Microfluidics,Artech
Adaptive Filters,Wiley-IEEE Press
Adaptive Internal Models in Neuroscience,Now Foundations and Trends
"Adaptive Inverse Control, Reissue Edition: A Signal Processing Approach",Wiley-IEEE Press
Adaptive Phased Array Thermotherapy for Cancer,Artech
Adaptive Query Processing,Now Foundations and Trends
"Adaptive Radar Detection: Model-Based, Data-Driven and Hybrid Approaches",Artech
Adaptive Signal Processing: Next Generation Solutions,Wiley-IEEE Press
"Adaptive Wireless Transceivers: Turbo-Coded, Turbo-Equalized and Space-Time Coded TDMA, CDMA, and OFDM Systems",Wiley-IEEE Press
Additive Manufacturing for Designers: a Primer,SAE
Additive Manufacturing of Aerospace Composite Structures: Fabrication and Reliability,SAE
Addressing Process Variations At the Microarchitecture and System Level,Now Foundations and Trends
Adhesive Joining of Structural Components: New Insights and Technologies,SAE
Adoption of Robots for Disasters: Lessons from the Response to COVID-19,Now Foundations and Trends
Adult Competencies for Lifelong Learning BILS Survey in Beijing 2012,River Publishers
Advanced Antenna Array Engineering for 6G and Beyond Wireless Communications,Wiley-IEEE Press
Advanced Applications of Computational Mathematics,River Publishers
Advanced Biomedical Image Analysis,Wiley-IEEE Press
Advanced Brake Technology,SAE
Advanced Classical Electromagnetism,Princeton University Press
Advanced Computational Electromagnetic Methods,Artech
"Advanced Content Delivery, Streaming, and Cloud Services",Wiley-IEEE Press
Advanced Control Systems: Theory and Applications,River Publishers
Advanced Control and Optimization Paradigms for Energy System Operation and Management,River Publishers
Advanced Control of Doubly Fed Induction Generator for Wind Power Systems,Wiley-IEEE Press
Advanced Database Techniques,MIT Press
Advanced Database Technology and Design,Artech
Advanced Design Techniques and Realizations of Microwave and RF Filters,Wiley-IEEE Press
Advanced Developments in Ultra-Clean Gasoline-Powered Vehicles,SAE
Advanced Electronic Packaging,Wiley-IEEE Press
Advanced Electronic Packaging: With Emphasis on Multichip Modules,Wiley-IEEE Press
"Advanced FDTD Methods: Parallelization, Acceleration, and Engineering Applications",Artech
"Advanced FPGA Design: Architecture, Implementation, and Optimization",Wiley-IEEE Press
Advanced Frequency Synthesis by Phase Lock,Wiley-IEEE Press
Advanced Hybrid Powertrains for Commercial Vehicles,SAE
Advanced Hybrid Powertrains for Commercial Vehicles,SAE
Advanced Instrumentation and Computer I/O Design: Real-Time Computer Interactive Engineering,Wiley-IEEE Press
